City/Town,"Barack Obama/ Joe Biden
Democratic","John McCain/ Sarah Palin
Republican","Ralph Nader/ Matt Gonzalez
Independent","Charles Baldwin/ Darrell Castle
Write In","Cynthia McKinney/ Rosa Clemente
Write In","Brian Moore/ Stewart Alexis Alexander
Write In","Roger Calero/ Alyson Kennedy
Write In","Total Votes Cast"
Totals,"997,772","629,428","19,162",311,90,19,15,"1,646,797"
Andover,"1,090",745,31,0,0,0,0,"1,866"
Ansonia,"4,616","2,918",124,0,0,0,0,"7,658"
Ashford,"1,422",837,57,1,0,0,0,"2,317"
Avon,"5,698","4,868",100,0,0,0,0,"10,666"
Barkhamsted,"1,223",969,50,0,0,0,0,"2,242"
"Beacon Falls","1,483","1,576",58,0,0,0,0,"3,117"
Berlin,"6,028","4,957",142,1,1,0,0,"11,129"
Bethany,"1,781","1,525",50,0,1,0,0,"3,357"
Bethel,"5,179","4,370",117,2,0,0,0,"9,668"
Bethlehem,"1,027","1,214",30,4,0,0,0,"2,275"
Bloomfield,"10,384","1,778",60,0,0,0,0,"12,222"
Bolton,"1,692","1,300",53,1,0,0,0,"3,046"
Bozrah,723,633,27,4,1,0,0,"1,388"
Branford,"9,062","5,906",171,5,0,0,0,"15,144"
Bridgeport,"33,976","6,507",199,0,0,0,0,"40,682"
Bridgewater,587,580,9,0,0,0,0,"1,176"
Bristol,"15,966","10,203",395,2,0,0,0,"26,566"
Brookfield,"4,340","4,753",80,4,0,0,0,"9,177"
Brooklyn,"1,932","1,674",71,5,0,0,0,"3,682"
Burlington,"2,716","2,406",87,4,2,0,0,"5,215"
Canaan,429,189,16,0,0,0,0,634
Canterbury,"1,334","1,345",62,2,1,0,0,"2,744"
Canton,"3,412","2,472",87,0,0,1,0,"5,972"
Chaplin,663,440,20,0,0,0,0,"1,123"
Cheshire,"8,177","6,839",139,6,0,1,0,"15,162"
Chester,"1,527",710,24,0,0,1,0,"2,262"
Clinton,"3,898","3,004",90,1,0,0,0,"6,993"
Colchester,"4,712","3,355",148,1,2,1,0,"8,219"
Colebrook,460,421,22,2,0,0,0,905
Columbia,"1,843","1,306",51,2,1,1,0,"3,204"
Cornwall,732,218,12,0,1,0,0,963
Coventry,"3,888","2,621",110,1,0,0,0,"6,620"
Cromwell,"4,551","2,989",119,1,0,0,0,"7,660"
Danbury,"16,028","10,732",219,0,0,0,0,"26,979"
Darien,"4,943","5,949",63,5,0,0,0,"10,960"
"Deep River","1,668",946,32,0,0,0,0,"2,646"
Derby,"2,880","2,383",76,0,0,0,0,"5,339"
Durham,"2,187","1,893",79,0,0,0,0,"4,159"
"E. Granby","1,612","1,303",40,1,0,0,0,"2,956"
"E. Haddam","2,874","1,918",85,1,0,1,0,"4,879"
"Polling Place 1-Plains Road","2,874","1,918",85,1,0,1,0,"4,879"
"E. Hampton","3,844","2,895",121,0,0,0,0,"6,860"
"E. Hartford","14,811","5,195",225,5,0,0,0,"20,236"
"E. Haven","6,878","5,287",185,0,0,0,0,"12,350"
"E. Lyme","5,961","3,819",91,1,0,0,0,"9,872"
"E. Windsor","3,106","2,100",74,1,0,0,0,"5,281"
Eastford,485,488,18,0,0,0,0,991
Easton,"2,238","2,259",26,1,0,0,0,"4,524"
Ellington,"4,236","3,519",98,0,1,0,0,"7,854"
Enfield,"11,584","7,656",310,6,1,0,0,"19,557"
Essex,"2,542","1,541",36,0,1,0,0,"4,120"
Fairfield,"17,236","13,071",230,0,0,0,0,"30,537"
Farmington,"8,088","5,822",156,3,1,0,1,"14,071"
Franklin,538,504,21,1,0,0,0,"1,064"
Glastonbury,"11,767","7,755",250,6,0,0,0,"19,778"
Goshen,856,927,24,0,0,0,0,"1,807"
Granby,"3,456","2,947",87,1,1,0,0,"6,492"
Greenwich,"16,233","13,937",204,0,0,0,0,"30,374"
Griswold,"2,803","2,286",95,1,0,0,0,"5,185"
Groton,"8,953","5,814",168,2,0,0,0,"14,937"
Guilford,"8,134","5,073",123,0,0,0,0,"13,330"
Haddam,"2,637","2,068",68,0,0,0,0,"4,773"
Hamden,"19,960","8,531",271,8,2,0,0,"28,772"
Hampton,643,433,29,0,0,0,0,"1,105"
Hartford,"31,741","2,686",165,1,2,2,0,"34,597"
"Polling Place 1","1,552",28,2,1,2,2,0,"1,587"
"Polling Place 2",409,86,1,0,0,0,0,496
"Polling Place 3","1,281",192,15,0,0,0,0,"1,488"
"Polling Place 4",806,61,13,0,0,0,0,880
"Polling Place 5","2,230",179,22,0,0,0,0,"2,431"
"Polling Place 6","2,072",24,1,0,0,0,0,"2,097"
"Polling Place 7","2,316",48,1,0,0,0,0,"2,365"
"Polling Place 8","1,291",114,11,0,0,0,0,"1,416"
"Polling Place 9","1,553",146,8,0,0,0,0,"1,707"
"Polling Place 10","1,733",158,7,0,0,0,0,"1,898"
"Polling Place 11","1,388",296,14,0,0,0,0,"1,698"
"Polling Place 12","1,657",211,12,0,0,0,0,"1,880"
"Polling Place 13","1,391",198,12,0,0,0,0,"1,601"
"Polling Place 14","1,555",308,11,0,0,0,0,"1,874"
"Polling Place 15",783,73,5,0,0,0,0,861
"Polling Place 16","1,216",92,8,0,0,0,0,"1,316"
"Polling Place 17","1,374",153,3,0,0,0,0,"1,530"
"Polling Place 18",917,62,5,0,0,0,0,984
"Polling Place 19",564,125,6,0,0,0,0,695
"Polling Place 20","1,186",53,2,0,0,0,0,"1,241"
"Polling Place 21",868,27,0,0,0,0,0,895
"Polling Place 22","1,964",31,4,0,0,0,0,"1,999"
"Polling Place 23","1,635",21,2,0,0,0,0,"1,658"
Hartland,496,756,22,2,0,0,0,"1,276"
Harwinton,"1,485","1,749",71,4,0,0,0,"3,309"
Hebron,"2,954","2,285",78,0,0,0,0,"5,317"
Kent,"1,172",591,19,0,0,0,0,"1,782"
Killingly,"3,629","2,815",126,1,0,0,0,"6,571"
Killingworth,"2,169","1,728",34,1,0,0,0,"3,932"
Lebanon,"2,103","1,691",74,0,0,0,0,"3,868"
Ledyard,"3,978","3,549",70,7,0,0,0,"7,604"
Lisbon,"1,277",938,44,0,0,0,0,"2,259"
Litchfield,"2,549","2,356",91,3,0,0,0,"4,999"
Lyme,"1,003",565,16,1,0,0,0,"1,585"
Madison,"6,097","4,727",106,0,0,0,0,"10,930"
Manchester,"17,782","8,457",356,4,3,0,0,"26,602"
Mansfield,"7,874","2,235",187,0,9,1,0,"10,306"
Marlborough,"2,071","1,594",36,0,2,0,0,"3,703"
Meriden,"15,913","7,363",301,0,0,0,0,"23,577"
Middlebury,"1,905","2,468",59,1,0,0,0,"4,433"
Middlefield,"1,452","1,079",34,1,0,0,0,"2,566"
Middletown,"15,143","5,907",335,4,3,0,0,"21,392"
Milford,"14,873","11,772",347,2,0,0,0,"26,994"
Monroe,"5,133","5,815",110,1,0,0,0,"11,059"
Montville,"4,438","3,526",109,3,0,0,0,"8,076"
Morris,648,704,34,0,0,0,0,"1,386"
Naugatuck,"7,034","6,148",157,6,0,0,0,"13,345"
"New Britain","16,742","5,442",272,2,1,1,0,"22,460"
