ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT\
6001,9,3,460302,9003460302,355,249,304149,304149,18385,7597,61968572,60750357,4033,1714,5960159,5801371,1.93,3.28,0.49,0.5,8.8,14.53,5.1,5.24\
6001,9,3,462101,9003462101,5833,2511,10766865,10644655,18385,7597,61968572,60750357,5833,2511,10766865,10644655,31.73,33.05,17.37,17.52,100,100,100,100\
6001,9,3,462102,9003462102,4239,1376,11689510,11382457,18385,7597,61968572,60750357,4239,1376,11689510,11382457,23.06,18.11,18.86,18.74,100,100,100,100\
6001,9,3,462201,9003462201,5256,2174,22399053,22048386,18385,7597,61968572,60750357,5256,2174,22399053,22048386,28.59,28.62,36.15,36.29,100,100,100,100\
6001,9,3,462202,9003462202,2692,1283,16213299,15858038,18385,7597,61968572,60750357,2692,1283,16213299,15858038,14.64,16.89,26.16,26.1,100,100,100,100\
6001,9,3,466400,9003466400,10,4,595696,512672,18385,7597,61968572,60750357,2417,1069,16273229,15835269,0.05,0.05,0.96,0.84,0.41,0.37,3.66,3.24\
6002,9,3,471100,9003471100,3635,1359,2731376,2731376,20486,9019,67930531,67502002,3635,1359,2731376,2731376,17.74,15.07,4.02,4.05,100,100,100,100\
6002,9,3,471200,9003471200,3347,1201,5813820,5813820,20486,9019,67930531,67502002,3347,1201,5813820,5813820,16.34,13.32,8.56,8.61,100,100,100,100\
6002,9,3,471300,9003471300,4577,2129,8847169,8831918,20486,9019,67930531,67502002,4577,2129,8847169,8831918,22.34,23.61,13.02,13.08,100,100,100,100\
6002,9,3,471400,9003471400,5515,2734,33745030,33374166,20486,9019,67930531,67502002,5515,2734,33745030,33374166,26.92,30.31,49.68,49.44,100,100,100,100\
6002,9,3,471500,9003471500,3412,1596,16793136,16750722,20486,9019,67930531,67502002,3412,1596,16793136,16750722,16.66,17.7,24.72,24.82,100,100,100,100\
6010,9,3,405100,9003405100,3171,1416,2594559,2588534,60448,26996,69427784,68381017,3171,1416,2594559,2588534,5.25,5.25,3.74,3.79,100,100,100,100\
6010,9,3,405200,9003405200,4447,1994,3629843,3629843,60448,26996,69427784,68381017,4447,1994,3629843,3629843,7.36,7.39,5.23,5.31,100,100,100,100\
6010,9,3,405300,9003405300,6140,2799,3491883,3491883,60448,26996,69427784,68381017,6140,2799,3491883,3491883,10.16,10.37,5.03,5.11,100,100,100,100\
6010,9,3,405401,9003405401,3321,1397,3811941,3802009,60448,26996,69427784,68381017,3325,1400,3815499,3805567,5.49,5.17,5.49,5.56,99.88,99.79,99.91,99.91\
6010,9,3,405402,9003405402,3982,2174,4597374,4562760,60448,26996,69427784,68381017,3982,2174,4597374,4562760,6.59,8.05,6.62,6.67,100,100,100,100\
6010,9,3,405500,9003405500,5206,2304,8472745,8387094,60448,26996,69427784,68381017,5206,2304,8472745,8387094,8.61,8.53,12.2,12.27,100,100,100,100\
6010,9,3,405600,9003405600,7222,3077,7987331,7612716,60448,26996,69427784,68381017,7222,3077,7987331,7612716,11.95,11.4,11.5,11.13,100,100,100,100\
6010,9,3,405700,9003405700,2186,1127,3656141,3578880,60448,26996,69427784,68381017,2186,1127,3656141,3578880,3.62,4.17,5.27,5.23,100,100,100,100\
6010,9,3,405800,9003405800,7388,3083,15958740,15517390,60448,26996,69427784,68381017,7388,3083,15958740,15517390,12.22,11.42,22.99,22.69,100,100,100,100\
6010,9,3,405900,9003405900,4636,1819,5312850,5300514,60448,26996,69427784,68381017,4636,1819,5312850,5300514,7.67,6.74,7.65,7.75,100,100,100,100\
6010,9,3,406001,9003406001,4029,1767,4240692,4240692,60448,26996,69427784,68381017,4054,1779,4260130,4260130,6.67,6.55,6.11,6.2,99.38,99.33,99.54,99.54\
6010,9,3,406002,9003406002,4810,2077,3871217,3871217,60448,26996,69427784,68381017,4810,2077,3871217,3871217,7.96,7.69,5.58,5.66,100,100,100,100\
