OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
1,S,33,27,6,0,0,3,2,15,7,25,0,0,2,0,0,10,15,704,18,3.9,5797141.234375,11626.3919971592
2,340258001005,55,17,38,5,1,2,4,3,2,8,0,0,5,4,0,0,8,842,66,2.2,1149512.30859375,5145.4856578039
3,340258001003,244,182,62,2,0,2,3,103,72,71,3,0,66,42,0,9,65,351,20,55,377153.4375,2818.41860238046
4,340258004001,110,62,48,9,8,13,6,19,7,53,0,0,9,0,0,17,36,503,1,12.4,1209722.30078125,6226.89641925957
5,340258002001,107,58,49,4,8,14,11,17,4,43,1,0,6,8,0,13,31,432,3,13.5,1385550.8515625,6064.39598099598
6,340258009003,126,21,105,18,0,1,1,1,0,16,2,0,3,0,0,1,17,1347,26,1.6,11871351.40625,20072.7584152045
7,340230078042,75,10,65,6,4,0,0,0,0,10,0,0,0,0,0,4,6,936,1,1.1,6223085.17578125,18541.7632697583
8,340170058021,214,51,163,11,1,21,4,10,4,23,23,0,1,4,0,29,17,809,9,6.4,8696509.5,29400.7382567704
9,340297225002,448,117,331,2,1,0,30,76,8,103,1,0,13,0,0,29,75,1136,883,46.2,1308218.53515625,10127.5254337282
10,340230034013,103,71,32,3,13,21,12,13,9,55,0,0,13,3,0,27,28,338,3,21.2,5607099.74609375,15749.4709562017
11,340258001004,212,144,68,5,0,1,5,96,37,84,10,0,45,5,0,27,67,819,33,18.3,703718.796875,5101.01522401423
12,340230079112,63,17,46,7,10,0,0,0,0,16,0,0,1,0,0,9,7,629,0,2.7,8186614.14453125,16821.2706157118
13,340258121001,504,339,165,8,1,34,46,145,105,118,36,0,100,85,0,29,125,532,110,80.3,47239713.0507813,82555.5921533645
14,340297225003,1010,227,783,10,1,0,55,152,9,188,0,0,37,0,0,83,105,1932,1709,100,1250646.6171875,5912.52195243215
15,340297270013,502,203,299,4,2,12,46,126,13,138,8,0,40,17,0,48,98,934,592,59.4,974582.0703125,4347.21655837363
16,340258001002,480,363,117,2,0,13,41,215,92,184,15,0,136,28,0,35,164,482,70,88.1,405361.671875,3036.92079195244
17,340258001001,494,346,148,7,2,5,91,180,61,133,63,0,90,59,1,82,114,652,89,61.5,536463.87109375,3963.0320661615
18,340258004002,103,69,34,4,2,11,17,27,8,50,0,0,19,0,0,12,38,552,4,12.6,1524263.1171875,5696.9918169931
19,340297144001,559,180,379,13,2,2,61,92,10,164,5,0,5,6,0,40,129,993,729,68.2,2426501.26171875,16083.5329352224
20,340297225001,738,297,441,1,0,1,78,201,16,259,3,0,34,0,0,92,170,1059,783,100,1152788.98828125,23237.2083107218
21,340297144002,263,115,148,5,0,5,21,78,6,99,0,2,14,0,0,35,66,442,317,92,725627.796875,9431.37629586992
22,340350534041,66,15,51,5,10,0,0,0,0,14,0,0,1,0,0,10,4,795,2,1.9,14096282.640625,16455.7686908741
23,340297270011,756,343,413,7,4,26,72,226,8,248,9,0,60,26,0,88,169,1342,932,83.7,1706782.234375,7214.40397310804
24,340297120001,322,150,172,1,1,6,36,79,27,140,0,1,9,0,0,19,122,535,362,86.7,2174296.3125,12954.0128036848
25,361031595101,78,17,61,2,1,1,4,8,1,5,0,8,0,0,4,2,11,1690,1646,38.6,6466420.63671875,34102.8670133704
26,361031470041,367,120,247,4,0,1,25,81,9,72,0,27,16,0,2,18,81,2458,2307,79.5,16032606.515625,80083.4747935455
27,361031350041,32,17,15,1,2,7,1,5,1,14,0,0,3,0,0,3,11,646,28,2.8,17340476.7539063,33371.2283969018
28,240399302002,52,38,14,8,0,1,13,16,0,35,1,0,2,0,0,20,16,671,124,6.9,143335408.910156,108047.700157724
29,240399306001,250,193,57,10,0,1,143,39,0,40,3,0,144,6,0,27,16,471,118,54.7,29131414.1015625,78158.6021562484
30,240399302001,40,26,14,3,1,0,9,13,0,26,0,0,0,0,0,12,14,603,168,6,80735384.8984375,323751.836152316
31,240399305005,99,84,15,3,0,2,21,58,0,72,0,0,12,0,0,43,29,333,21,26.9,36864283.4453125,129556.325709065
32,240399306003,205,161,44,3,7,13,53,85,0,123,1,0,34,3,0,65,59,860,33,19.5,3622734.52734375,9839.96723975079
33,240399306002,129,96,33,4,11,11,30,40,0,74,0,0,20,2,0,36,38,418,22,24.2,2819510.6953125,9376.06239118115
34,340330219001,20,11,9,2,8,0,1,0,0,5,0,0,6,0,0,4,1,895,5,1.2,2988185.97265625,9200.32177520009
35,340330222021,18,13,5,4,1,1,2,5,0,12,0,0,1,0,0,6,6,524,25,2.6,58092637.6953125,39736.0073856947
36,340330220001,22,14,8,3,7,3,1,0,0,4,0,0,10,0,0,4,0,964,1,1.5,3185532.24609375,8358.27088802615
37,340330203003,44,30,14,1,5,12,2,9,1,18,0,0,10,2,0,6,12,471,5,6.4,885883.015625,4509.10741665956
38,340330204002,17,14,3,0,0,0,3,11,0,9,0,0,4,1,0,3,6,517,0,2.7,3006898.78125,7239.1027587439
39,340330203002,102,85,17,4,2,0,31,48,0,3,0,0,8,74,0,3,0,408,1,20.9,682041.19140625,4096.36448527081
40,340076019001,23,15,8,7,6,0,1,0,1,8,0,0,7,0,0,7,1,698,1,2.2,1440638.36328125,7638.41731706902
41,340076002002,18,10,8,4,5,1,0,0,0,10,0,0,0,0,0,8,2,455,0,2.2,314775.24609375,3675.28009170138
42,340076020001,17,14,3,2,11,1,0,0,0,6,0,0,8,0,0,4,2,336,0,4.2,628783.0703125,5634.75745281264
