Candidate Name,Party Name,Office Name,Town Name,Vote Totals,Local District
Clinton and Kaine,Democratic Party,Presidential Electors for,Andover,896,Andover Town Hall
Trump and Pence,Republican Party,Presidential Electors for,Andover,891,Andover Town Hall
Johnson and Weld,Libertarian Party,Presidential Electors for,Andover,79,Andover Town Hall
Stein and Baraka,Green Party,Presidential Electors for,Andover,42,Andover Town Hall
Basiago and Kinnison,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Blumenthal and Blair,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Buchanan and Washington,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Castle and Bradley,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Cooper and Meyer,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Cummings and Romanoff,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Deame and Long,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
De La Fuente and Steinberg,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Evans and Fitch,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Fox and Kushner,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Hoefling and Schulin,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Kotlikoff and Leamer,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
La Riva and Puryear,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Maldonado and Terranova,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
McMullin and Johnson,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Skewes and Lacy,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Smith and White,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Wu and Wu,Write-In,Presidential Electors for,Andover,0,Andover Town Hall
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,581,Ward 1 Ansonia Armory
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,423,Ward 1 Ansonia Armory
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,34,Ward 1 Ansonia Armory
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,17,Ward 1 Ansonia Armory
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,1,Ward 1 Ansonia Armory
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,499,Ward 2 Ansonia Armory
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,452,Ward 2 Ansonia Armory
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,30,Ward 2 Ansonia Armory
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,18,Ward 2 Ansonia Armory
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Cummings and Romanoff,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Deame and Long,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
De La Fuente and Steinberg,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Evans and Fitch,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Fox and Kushner,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Hoefling and Schulin,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Klojzy Jr. and LeMay,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Kotlikoff and Leamer,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
La Riva and Puryear,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Maldonado and Terranova,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
McMullin and Johnson,Write-In,Presidential Electors for,Ansonia,1,Ward 2 Ansonia Armory
Schoenke and Mitchell Jr.,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Skewes and Lacy,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Smith and White,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Wu and Wu,Write-In,Presidential Electors for,Ansonia,0,Ward 2 Ansonia Armory
Clinton and Kaine,Democratic Party,Presidential Electors for,Ansonia,508,Ward 3 Holy Rosary Church
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,440,Ward 3 Holy Rosary Church
Johnson and Weld,Libertarian Party,Presidential Electors for,Ansonia,33,Ward 3 Holy Rosary Church
Stein and Baraka,Green Party,Presidential Electors for,Ansonia,13,Ward 3 Holy Rosary Church
Basiago and Kinnison,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Blumenthal and Blair,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Buchanan and Washington,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Castle and Bradley,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
Cooper and Meyer,Write-In,Presidential Electors for,Ansonia,0,Ward 3 Holy Rosary Church
