OBJECTID,ZCTA5CE10,Town,Total Population,PopDensSqMi,Total Number of Families,Total Number of Households,Total Housing Units,HighPov,DistressedMuni,Median Age,Shape__Area,Shape__Length
1,06524,Bethany,5492,255.531652774241,1581,1860,1918,Not High Poverty,,44.1,599155008.680786,111736.222513014
2,06525,Woodbridge,8779,457.547925301783,2460,2935,3122,Not High Poverty,,47.1,534889649.816345,104452.447758752
3,06604,Bridgeport,26858,5360.95432985876,5090,9903,11653,High Poverty,1,33.4,139668836.423553,109274.96210885
4,06605,Bridgeport,24541,8962.84977813283,5297,8968,10046,High Poverty,1,32.3,76333565.0317383,53937.1167999996
5,06606,Bridgeport,47040,8665.81338729406,11220,16421,18200,High Poverty,1,38.1,151329308.303894,71300.2681542907
6,06607,Bridgeport,9456,4868.68569933736,2107,2842,3294,High Poverty,1,28.6,54145748.5538025,34310.596206429
7,06608,Bridgeport,14169,12170.3214269092,3156,4700,5275,High Poverty,1,31.3,32456695.9085083,29155.2361138927
8,06610,Bridgeport,22914,7369.40236665608,5399,8801,9643,High Poverty,1,38.6,86683112.336853,46371.0380578918
9,06611,Trumbull,35907,1485.7509486613,9883,11942,12395,Not High Poverty,,42.5,673743439.491028,121016.044390715
10,06612,Easton,7447,265.202483076814,2249,2702,2766,Not High Poverty,,52.4,782825539.453186,154116.000890416
11,06614,Stratford,33481,2897.47396086461,8736,12686,13685,Not High Poverty,,44.3,322138499.631042,85132.8318021243
12,06615,Stratford,18501,2215.40811686134,4888,7301,7911,Not High Poverty,,41.7,232814474.768677,71979.783742546
13,06702,Waterbury,3043,4607.68320053038,378,1779,1997,High Poverty,1,56.6,18410727.5805054,33776.1985847627
14,06704,Waterbury,26209,3230.06368094524,6441,9868,11665,High Poverty,1,34.8,226199568.927246,110559.405849218
15,06705,Waterbury,24910,4470.4341361074,5737,10469,11599,High Poverty,1,40.1,155337236.086975,77784.7841664102
16,06811,Danbury,31887,1375.36038596707,8100,11554,12623,Not High Poverty,,43.6,646324132.800049,115311.201846062
17,06812,New Fairfield,13924,553.546202022224,3865,4693,5597,Not High Poverty,,42.1,701232646.825684,123423.010374458
18,06820,Darien,21752,1452.89661651728,5793,6945,7331,Not High Poverty,,39.8,417391395.53067,87665.7332369359
19,06824,Fairfield,36058,1682.92552525193,8962,12173,12732,Not High Poverty,,38.7,597316815.735016,150012.015322419
20,06825,Fairfield,21264,3143.47118335136,5410,7294,7843,Not High Poverty,,42.8,188582732.273438,77712.2849843883
21,06830,Greenwich,24557,1336.01258177091,6302,9438,10736,Not High Poverty,,43.7,512446577.299469,153291.520888165
22,06831,Greenwich,15240,543.202851526208,4171,5133,5900,Not High Poverty,,45.9,782169693.609558,164045.894930816
23,06840,New Canaan,20249,899.014961065084,5273,6855,7444,Not High Poverty,,43.3,627923624.962311,108186.131745738
24,06850,Norwalk,19206,2827.71888514932,4978,7862,8547,Not High Poverty,,40.8,189353771.077179,91650.0554068433
25,06851,Norwalk,27028,3512.37228900332,6730,10792,11741,Not High Poverty,,41.9,214528709.151093,69318.9340458843
26,06853,Norwalk,3969,2471.6395598591,1022,1472,1544,Not High Poverty,,42.1,44768825.8887329,37267.9125144815
27,06854,Norwalk,29895,4063.61604686842,7571,10682,11261,High Poverty,,36.4,205099228.888458,98040.69252398
28,06855,Norwalk,8506,1689.12245062867,2174,3553,3765,Not High Poverty,,44.4,140389669.311768,84429.8435031233
29,06870,Greenwich,7831,2072.48974430744,2050,2712,2914,Not High Poverty,,41.4,105344809.810455,70424.0369221883
30,06877,Ridgefield,25065,713.985011919228,7137,9250,9927,Not High Poverty,,45.7,978671828.000458,134716.446587186
31,06878,Greenwich,8214,2563.37411425467,2100,2583,2729,Not High Poverty,,42.4,89335532.9742737,48265.631082939
32,06880,Westport,28413,1092.71455170158,7761,10127,11052,Not High Poverty,,46.5,724907994.330536,143173.14766268
33,06883,Weston,10278,497.149107712408,2927,3531,3953,Not High Poverty,,47.6,576349700.211304,99284.382351427
34,06890,Fairfield,4540,1491.96148540018,1224,1679,1865,Not High Poverty,,43.5,84833959.2971802,49746.6400787094
35,06896,Redding,9070,283.33290005105,2638,3401,3810,Not High Poverty,,47.1,892418770.809479,130160.019401258
36,06897,Wilton,18405,674.132690205248,4924,5955,6609,Not High Poverty,,43.6,761125250.728333,118485.984118126
37,06901,Stamford,7212,15504.6213958579,1299,4065,4764,High Poverty,,34.6,12968100.2872009,19846.6157886762
38,06902,Stamford,70199,5597.9195080523,16451,27532,29441,High Poverty,,35.9,349611127.996735,159928.585552429
39,06903,Stamford,14650,802.511408760345,4311,5068,5338,Not High Poverty,,50.1,508930912.32373,102390.230030914
40,06905,Stamford,19554,3925.73564815253,4903,7488,8213,Not High Poverty,,40.1,138864791.610504,84192.6709652189
41,06906,Stamford,9894,8182.6886508979,2578,3476,3645,High Poverty,,37.4,33709764.3825073,35003.3472546477
42,06907,Stamford,8244,3943.27999104121,2112,3229,3537,Not High Poverty,,38.5,58284927.2388611,53617.9779491349
43,06790,Torrington,34192,810.886395221588,8773,14344,16591,Not High Poverty,1,45.1,1175516261.58551,169135.788518619
44,06791,Harwinton,5428,174.010475874657,1678,2038,2298,Not High Poverty,,47.7,869606096.349548,118915.597309851
45,06793,Washington,1279,90.1109776171538,307,523,661,Not High Poverty,,53.2,395681684.61731,112202.579522379
46,06794,Washington,1037,76.3334250219467,240,396,809,High Poverty,,37.4,378718907.294983,161880.716969254
47,06795,Watertown,13733,515.002951252317,3708,5435,5644,Not High Poverty,,47.9,743375465.757019,153406.28076709
48,06796,Cornwall,997,26.7570664254194,332,480,763,Not High Poverty,,62,1038778392.86206,235036.799267762
49,06798,Woodbury,9529,260.037963951623,2844,4533,4983,Not High Poverty,,54.5,1021556403.40143,132295.308883416
50,06801,Bethel,19798,1163.63583172104,5008,7221,7609,Not High Poverty,,41.5,474306995.654968,98048.1698261657
51,06804,Brookfield,17219,845.439660427911,4913,6268,6701,Not High Poverty,,45.6,567776357.708679,115817.422638213
