town,County,"Per capita
income","Median
household
income",Population
New Canaan,Fairfield,"$105,846","$174,611","19,738"
Darien,Fairfield,"$105,846","$208,848","20,732"
Greenwich,Fairfield,"$90,087","$128,153","61,171"
Weston,Fairfield,"$92,794","$219,868","10,179"
Westport,Fairfield,"$97,395","$181,360","26,391"
Glastonbury,Hartford,"$84,200","$130,837","34,564"
Ridgefield,Fairfield,"$75,634","$163,954","24,638"
Wilton,Fairfield,"$78,131","$180,313","18,062"
Brookfield,Fairfield,"$63,411","$132,950","17,550"
Avon,Hartford,"$89,357","$146,153","18,871"
Redding,Fairfield,"$61,043","$137,916","9,158"
Roxbury,Litchfield,"$68,446","$96,875","2,262"
Easton,Fairfield,"$58,532","$131,189","7,490"
Bridgewater,Litchfield,"$66,035","$98,424","1,727"
Essex,Middlesex,"$53,427","$86,376","6,683"
Lyme,New London,"$66,822","$123,894","18,098"
Fairfield,Fairfield,"$60,155","$122,306","59,404"
Tolland,Tolland,"$45,901","$110,593","15,502"
Old Lyme,New London,"$46,429","$87,025","7,603"
Madison,New Haven,"$52,413","$107,183","18,269"
Guilford,New Haven,"$65,609","$124,793","22,019"
Washington,Litchfield,"$70,264","$81,354","3,578"
Kent,Litchfield,"$34,015","$60,714","2,979"
Cornwall,Litchfield,"$49,753","$75,833","1,420"
Farmington,Hartford,"$52,341","$91,712","25,340"
Woodbridge,New Haven,"$58,594","$133,412","8,990"
Warren,Litchfield,"$49,142","$87,857","1,461"
Sherman,Fairfield,"$63,914","$108,398","3,581"
Salisbury,Litchfield,"$53,332","$82,794","3,741"
Bethany,New Haven,"$47,241","$113,720","5,563"
Granby,Hartford,"$46,687","$97,500","11,282"
Canton,Hartford,"$46,401","$87,643","10,292"
Killingworth,Middlesex,"$45,404","$99,500","6,525"
Newtown,Fairfield,"$45,308","$108,148","27,560"
Orange,New Haven,"$44,983","$102,255","13,956"
Middlebury,New Haven,"$44,850","$100,866","7,575"
Stamford,Fairfield,"$44,667","$75,579","122,643"
Woodbury,Litchfield,"$44,060","$80,595","9,975"
Trumbull,Fairfield,"$44,006","$102,059","36,018"
Norfolk,Litchfield,"$43,866","$85,526","1,709"
Monroe,Fairfield,"$43,842","$109,727","19,479"
West Hartford,Hartford,"$53,534","$98,530","63,268"
Old Saybrook,Middlesex,"$43,400","$79,985","10,242"
Burlington,Hartford,"$43,392","$115,341","9,301"
Sharon,Litchfield,"$43,317","$70,104","2,782"
Norwalk,Fairfield,"$43,303","$76,161","85,603"
Bolton,Tolland,"$42,312","$89,432","4,980"
Stonington,New London,"$42,184","$72,445","18,545"
Cromwell,Middlesex,"$41,926","$82,012","14,005"
Oxford,New Haven,"$41,909","$107,500","12,683"
Simsbury,Hartford,"$41,883","$99,764","23,511"
New Hartford,Litchfield,"$41,709","$80,718","6,970"
Marlborough,Hartford,"$41,669","$108,232","6,404"
Litchfield,Litchfield,"$41,649","$78,750","8,466"
Branford,New Haven,"$41,540","$70,640","28,026"
Salem,New London,"$41,414","$95,000","4,151"
Suffield,Hartford,"$41,098","$90,023","15,735"
Chester,Middlesex,"$40,783","$80,185","3,994"
East Granby,Hartford,"$40,698","$77,596","5,148"
Cheshire,New Haven,"$40,498","$107,936","29,261"
Prospect,New Haven,"$40,126","$86,526","9,405"
Southbury,New Haven,"$40,022","$68,041","19,904"
Bloomfield,Hartford,"$39,738","$68,372","20,486"
Bethlehem,Litchfield,"$39,704","$82,899","3,607"
North Stonington,New London,"$39,588","$88,869","5,297"
Shelton,Fairfield,"$39,579","$105,417","41,141"
Goshen,Litchfield,"$39,562","$76,705","2,976"
New Fairfield,Fairfield,"$39,486","$101,067","13,881"
