"town" "dif_rep_voteshare" "dif_dem_voteshare" "votedif"
"1" "Andover" -0.151719735305566 0.151719735305566 -85
"2" "Ansonia" -0.234759312884227 0.234759312884226 -665
"3" "Ashford" -0.253193411919333 0.253193411919333 -125
"4" "Avon" -0.00461103182138911 0.00461103182138911 -210
"5" "Barkhamsted" -0.0579379562043796 0.0579379562043796 -126
"6" "Beacon Falls" 0.0666158148995678 -0.0666158148995677 -161
"7" "Berlin" -0.0551018842872124 0.0551018842872123 -125
"8" "Bethany" -0.0512531863150253 0.0512531863150254 -155
"9" "Bethel" -0.0597257260533912 0.0597257260533912 -364
"10" "Bethlehem" 0.128980063065435 -0.128980063065435 -75
"11" "Bloomfield" -0.691304829231066 0.691304829231066 -316
"12" "Bolton" -0.0653336230645983 0.0653336230645982 -125
"13" "Bozrah" -0.0499322521912182 0.0499322521912182 -102
"14" "Branford" -0.192095407581516 0.192095407581516 -1059
"15" "Bridgeport" -0.700724728582287 0.700724728582287 -3180
"16" "Bridgewater" 0.0483316553771166 -0.0483316553771166 -115
"17" "Bristol" -0.195866893856915 0.195866893856915 -2019
"18" "Brookfield" 0.0805736132648393 -0.0805736132648394 -236
"19" "Brooklyn" -0.0618829770083365 0.0618829770083366 -293
"20" "Burlington" 0.00207965328523707 -0.00207965328523702 -82
"21" "Canaan" -0.3406394037462 0.3406394037462 -24
"22" "Canterbury" 0.0215230971849535 -0.0215230971849535 -188
"23" "Canton" -0.0995833620606199 0.0995833620606199 -175
"24" "Chaplin" -0.157278418166904 0.157278418166904 -53
"25" "Cheshire" -0.0494326903122325 0.0494326903122325 -365
"26" "Chester" -0.343846863494322 0.343846863494322 -150
"27" "Clinton" -0.116883842691872 0.116883842691872 -369
"28" "Colchester" -0.137347390674874 0.137347390674874 -56
"29" "Colebrook" 0.0265596479923215 -0.0265596479923214 -39
"30" "Columbia" -0.150525545877535 0.150525545877535 -115
"31" "Cornwall" -0.48611220884977 0.486112208849769 -71
"32" "Coventry" -0.171680751978339 0.171680751978339 -356
"33" "Cromwell" -0.163531287744305 0.163531287744305 -284
"34" "Danbury" -0.19117545656049 0.19117545656049 -790
"35" "Darien" 0.205574622464083 -0.205574622464083 -167
"36" "Deep River" -0.251540932165981 0.251540932165981 -203
"37" "Derby" -0.104524279664418 0.104524279664418 -761
"38" "Durham" -0.0323311869126348 0.0323311869126349 -24
"39" "East Granby" -0.0426034071939593 0.0426034071939593 -78
"40" "East Haddam" -0.139269233292751 0.139269233292751 -212
"41" "East Hampton" -0.0983183668271915 0.0983183668271914 -92
"42" "East Hartford" -0.496743641578185 0.496743641578185 -1302
"43" "East Haven" -0.149321729390938 0.149321729390938 -977
"44" "East Lyme" -0.19174709921577 0.19174709921577 -423
"45" "East Windsor" -0.171584067086084 0.171584067086084 -237
"46" "Eastford" 0.00207983697618253 -0.00207983697618253 -44
"47" "Easton" 0.066182319445689 -0.0661823194456891 -276
"48" "Ellington" -0.0264738351469163 0.0264738351469163 -263
"49" "Enfield" -0.170490028524542 0.170490028524542 -1392
"50" "Essex" -0.189867113163745 0.189867113163745 -152
"51" "Fairfield" -0.0843342812577383 0.0843342812577382 -667
"52" "Farmington" -0.0962055690617438 0.0962055690617437 -286
"53" "Franklin" -0.0177640546329522 0.0177640546329523 -7
